turbine_id,forecast_origin_utc,weather_run_utc,target_time_utc,horizon_h,model,model_version,fallback_used,wind_speed_100m,power_curve,persistence,actual_power
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2025-12-31T20:00:00Z,1,0.83959986,hgb-jan-eval-train-before-20260101,false,10.77000000,0.91353333,0.01000000,0.16000000
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2025-12-31T21:00:00Z,2,0.96162499,hgb-jan-eval-train-before-20260101,false,13.63000000,0.99000000,0.01000000,0.63666667
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2025-12-31T22:00:00Z,3,0.94323705,hgb-jan-eval-train-before-20260101,false,13.03000000,0.99000000,0.01000000,0.98833333
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2025-12-31T23:00:00Z,4,0.95556122,hgb-jan-eval-train-before-20260101,false,12.45000000,0.98800000,0.01000000,0.99000000
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T00:00:00Z,5,0.94334838,hgb-jan-eval-train-before-20260101,false,12.01000000,0.98346667,0.01000000,0.98833333
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T01:00:00Z,6,0.90140688,hgb-jan-eval-train-before-20260101,false,10.14000000,0.83496667,0.01000000,0.95666667
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T02:00:00Z,7,0.81779901,hgb-jan-eval-train-before-20260101,false,8.70000000,0.62916667,0.01000000,0.82666667
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T03:00:00Z,8,0.73029570,hgb-jan-eval-train-before-20260101,false,7.99000000,0.52180000,0.01000000,0.57166667
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T04:00:00Z,9,0.59661119,hgb-jan-eval-train-before-20260101,false,6.57000000,0.30676667,0.01000000,0.40833333
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T05:00:00Z,10,0.37668677,hgb-jan-eval-train-before-20260101,false,5.11000000,0.14546667,0.01000000,0.33666667
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T06:00:00Z,11,0.25732568,hgb-jan-eval-train-before-20260101,false,4.16000000,0.08186667,0.01000000,0.11500000
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T07:00:00Z,12,0.13532516,hgb-jan-eval-train-before-20260101,false,3.54000000,0.05230000,0.01000000,0.04500000
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T08:00:00Z,13,0.09240856,hgb-jan-eval-train-before-20260101,false,2.66000000,0.02153333,0.01000000,0.06500000
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T09:00:00Z,14,0.06648642,hgb-jan-eval-train-before-20260101,false,1.40000000,0.01000000,0.01000000,0.01833333
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T10:00:00Z,15,0.06439433,hgb-jan-eval-train-before-20260101,false,1.21000000,0.01000000,0.01000000,0.01000000
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T11:00:00Z,16,0.09300507,hgb-jan-eval-train-before-20260101,false,2.26000000,0.01353333,0.01000000,0.01000000
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T12:00:00Z,17,0.15059313,hgb-jan-eval-train-before-20260101,false,3.50000000,0.05083333,0.01000000,0.01166667
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T13:00:00Z,18,0.11660404,hgb-jan-eval-train-before-20260101,false,2.61000000,0.02053333,0.01000000,0.02333333
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T14:00:00Z,19,0.11115212,hgb-jan-eval-train-before-20260101,false,2.14000000,0.01260000,0.01000000,0.02000000
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T15:00:00Z,20,0.08292469,hgb-jan-eval-train-before-20260101,false,1.34000000,0.01000000,0.01000000,0.07333333
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T16:00:00Z,21,0.06680512,hgb-jan-eval-train-before-20260101,false,0.60000000,0.01000000,0.01000000,0.07666667
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T17:00:00Z,22,0.09209908,hgb-jan-eval-train-before-20260101,false,1.19000000,0.01000000,0.01000000,0.04333333
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T18:00:00Z,23,0.05915272,hgb-jan-eval-train-before-20260101,false,0.99000000,0.01000000,0.01000000,0.01000000
